noise_std,configuration,nrmse_slow,nrmse_fast
0.15,Optical only,0.4815,0.8982
0.15,Acoustic only (raw input),0.0930,0.9979
0.15,Optical -> Acoustic (serial),0.1012,0.9976
0.15,Optical + Acoustic (both taps),0.0994,0.5023
0.4,Optical only,0.6390,0.9207
0.4,Acoustic only (raw input),0.1896,0.9995
0.4,Optical -> Acoustic (serial),0.2370,0.9995
0.4,Optical + Acoustic (both taps),0.2303,0.8023
0.8,Optical only,0.8136,0.9492
0.8,Acoustic only (raw input),0.3245,1.0000
0.8,Optical -> Acoustic (serial),0.3773,1.0000
0.8,Optical + Acoustic (both taps),0.3687,0.9241
