architecture,interaction,timescale,seed,nrmse_slow,nrmse_fast
parallel,0.0,separated,1,0.1995419513777815,0.8345953837203338
parallel,0.0,separated,2,0.25613722734622696,0.813594254603201
parallel,0.0,separated,3,0.19672168785193714,0.8052291351116333
parallel,0.0,separated,4,0.18257217482275723,0.812227541597384
parallel,0.0,similar,1,0.09391846756876697,0.884924942702127
parallel,0.0,similar,2,0.0926639851240287,0.8401197162734918
parallel,0.0,similar,3,0.08363537919853697,0.8354084277782837
parallel,0.0,similar,4,0.11834027612103028,0.8391407822110062
parallel,0.5,separated,1,0.1995419513777815,0.8492553142739651
parallel,0.5,separated,2,0.25613722734622696,0.8236974791539013
parallel,0.5,separated,3,0.19672168785193714,0.827413080035222
parallel,0.5,separated,4,0.18257217482275723,0.8335198970595771
parallel,0.5,similar,1,0.09391846756876697,0.8889082630097341
parallel,0.5,similar,2,0.0926639851240287,0.8340785190218678
parallel,0.5,similar,3,0.08363537919853697,0.8457803896431969
parallel,0.5,similar,4,0.11834027612103028,0.851292406712181
parallel,1.0,separated,1,0.1995419513777815,0.9169439241655987
parallel,1.0,separated,2,0.25613722734622696,0.8930497598988995
parallel,1.0,separated,3,0.19672168785193714,0.9117195064916463
parallel,1.0,separated,4,0.18257217482275723,0.9136654217989514
parallel,1.0,similar,1,0.09391846756876697,0.9003280212189242
parallel,1.0,similar,2,0.0926639851240287,0.8409474645916005
parallel,1.0,similar,3,0.08363537919853697,0.8771063751939775
parallel,1.0,similar,4,0.11834027612103028,0.8908770664496074
serial_force,0.0,separated,1,0.16917172772247266,0.8246114567108901
serial_force,0.0,separated,2,0.19972971450450272,0.7989679618846147
serial_force,0.0,separated,3,0.18757528436951768,0.7931117684007222
serial_force,0.0,separated,4,0.18476445308287137,0.8179354592174086
serial_force,0.0,similar,1,0.10164781546890782,0.8875619021872028
serial_force,0.0,similar,2,0.2219767047440016,0.8299525616865867
serial_force,0.0,similar,3,0.12193740033116965,0.8384338571887197
serial_force,0.0,similar,4,0.21473245798447838,0.8349143681363108
serial_force,0.5,separated,1,0.16917172772247266,0.831586403065599
serial_force,0.5,separated,2,0.19972971450450272,0.7965909181127397
serial_force,0.5,separated,3,0.18757528436951768,0.8145653786533494
serial_force,0.5,separated,4,0.18476445308287137,0.8266171536961874
serial_force,0.5,similar,1,0.10164781546890782,0.8900800047489205
serial_force,0.5,similar,2,0.2219767047440016,0.8313294533939325
serial_force,0.5,similar,3,0.12193740033116965,0.8456563857442173
serial_force,0.5,similar,4,0.21473245798447838,0.8437887933661238
serial_force,1.0,separated,1,0.16917172772247266,0.8693058293316691
serial_force,1.0,separated,2,0.19972971450450272,0.8276370908664904
serial_force,1.0,separated,3,0.18757528436951768,0.8714008107924781
serial_force,1.0,separated,4,0.18476445308287137,0.8803339813033856
serial_force,1.0,similar,1,0.10164781546890782,0.8715691048150964
serial_force,1.0,similar,2,0.2219767047440016,0.8235479909616111
serial_force,1.0,similar,3,0.12193740033116965,0.8474408617924093
serial_force,1.0,similar,4,0.21473245798447838,0.8662342674445752
parametric,0.0,separated,1,0.19185046680960802,0.8364643469558515
parametric,0.0,separated,2,0.25091746129571746,0.812453316534078
parametric,0.0,separated,3,0.1882973163801777,0.8014144192823468
parametric,0.0,separated,4,0.18059568365098916,0.8109339111778425
parametric,0.0,similar,1,0.11660405872559348,0.8863324878845853
parametric,0.0,similar,2,0.10738947742770366,0.8404426332437863
parametric,0.0,similar,3,0.10192141148210486,0.8353005032357729
parametric,0.0,similar,4,0.13812345149320376,0.8359740468953134
parametric,0.5,separated,1,0.19185046680960802,0.8509596187179905
parametric,0.5,separated,2,0.25091746129571746,0.8225689308587909
parametric,0.5,separated,3,0.1882973163801777,0.8232912666038165
parametric,0.5,separated,4,0.18059568365098916,0.8317769433584864
parametric,0.5,similar,1,0.11660405872559348,0.890197805368397
parametric,0.5,similar,2,0.10738947742770366,0.8346081650820104
parametric,0.5,similar,3,0.10192141148210486,0.8471591260866609
parametric,0.5,similar,4,0.13812345149320376,0.8481668647180457
parametric,1.0,separated,1,0.19185046680960802,0.9177927992986626
parametric,1.0,separated,2,0.25091746129571746,0.8923142849987233
parametric,1.0,separated,3,0.1882973163801777,0.9085410645970284
parametric,1.0,separated,4,0.18059568365098916,0.9117260597159065
parametric,1.0,similar,1,0.11660405872559348,0.900820770358081
parametric,1.0,similar,2,0.10738947742770366,0.8414375929635654
parametric,1.0,similar,3,0.10192141148210486,0.8810336481289125
parametric,1.0,similar,4,0.13812345149320376,0.888713589643996
parallel_bilinear,0.0,separated,1,0.20511536952591003,0.8358531105853254
parallel_bilinear,0.0,separated,2,0.2616750891638131,0.8192077026195379
