config_id,architecture,task,optical_theta,acoustic_c,n_reservoir,readout_reg,theta2,nrmse_primary,nrmse_slow,nrmse_fast,nrmse_std,ci_95,n_successful,n_total
0,serial_force,dual_timescale,0.2,0.3,100,1e-06,N/A,0.9508,0.2845,0.9508,0.1168,0.1450,5,5
1,serial_force,mackey_glass,0.2,0.3,100,1e-06,N/A,0.0298,0.0298,N/A,0.0048,0.0060,5,5
2,serial_force,narma10,0.2,0.3,100,1e-06,N/A,0.6975,0.6975,N/A,0.0312,0.0387,5,5
3,parallel,dual_timescale,0.2,0.3,100,1e-06,N/A,1.0755,0.5033,1.0755,0.0394,0.0490,5,5
4,parallel,mackey_glass,0.2,0.3,100,1e-06,N/A,0.0305,0.0305,N/A,0.0042,0.0052,5,5
5,parallel,narma10,0.2,0.3,100,1e-06,N/A,0.7153,0.7153,N/A,0.0262,0.0325,5,5
6,all_optical,dual_timescale,0.2,0.3,100,1e-06,0.5,0.8850,0.4985,0.8850,0.0279,0.0346,5,5
7,all_optical,mackey_glass,0.2,0.3,100,1e-06,0.5,0.0289,0.0289,N/A,0.0013,0.0016,5,5
8,all_optical,narma10,0.2,0.3,100,1e-06,0.5,0.8255,0.8255,N/A,0.0194,0.0241,5,5
9,all_optical,dual_timescale,0.2,0.3,100,1e-06,3.0,0.8826,0.4908,0.8826,0.0256,0.0317,5,5
10,all_optical,mackey_glass,0.2,0.3,100,1e-06,3.0,0.0266,0.0266,N/A,0.0013,0.0016,5,5
11,all_optical,narma10,0.2,0.3,100,1e-06,3.0,0.8238,0.8238,N/A,0.0187,0.0232,5,5
12,serial_force,dual_timescale,0.2,0.3,100,0.001,N/A,0.8507,0.1953,0.8507,0.0176,0.0219,5,5
13,serial_force,mackey_glass,0.2,0.3,100,0.001,N/A,0.1030,0.1030,N/A,0.0149,0.0185,5,5
14,serial_force,narma10,0.2,0.3,100,0.001,N/A,0.7569,0.7569,N/A,0.0318,0.0395,5,5
15,parallel,dual_timescale,0.2,0.3,100,0.001,N/A,0.9062,0.2302,0.9062,0.0110,0.0136,5,5
16,parallel,mackey_glass,0.2,0.3,100,0.001,N/A,0.1061,0.1061,N/A,0.0126,0.0156,5,5
17,parallel,narma10,0.2,0.3,100,0.001,N/A,0.7486,0.7486,N/A,0.0334,0.0415,5,5
18,all_optical,dual_timescale,0.2,0.3,100,0.001,0.5,0.9141,0.5742,0.9141,0.0195,0.0243,5,5
19,all_optical,mackey_glass,0.2,0.3,100,0.001,0.5,0.1058,0.1058,N/A,0.0195,0.0242,5,5
20,all_optical,narma10,0.2,0.3,100,0.001,0.5,0.8574,0.8574,N/A,0.0193,0.0240,5,5
21,all_optical,dual_timescale,0.2,0.3,100,0.001,3.0,0.9141,0.5742,0.9141,0.0189,0.0235,5,5
22,all_optical,mackey_glass,0.2,0.3,100,0.001,3.0,0.1061,0.1061,N/A,0.0201,0.0249,5,5
23,all_optical,narma10,0.2,0.3,100,0.001,3.0,0.8569,0.8569,N/A,0.0172,0.0213,5,5
24,serial_force,dual_timescale,0.2,0.3,300,1e-06,N/A,1.0331,0.3693,1.0331,0.0919,0.1141,5,5
