seed,architecture,nrmse_slow,nrmse_fast
1,serial_force,0.3380762981147203,0.8757575816051831
1,parallel,0.34001415974700444,0.9119301784826429
1,all_optical,0.7047496603947296,0.8603105756584295
2,serial_force,0.3383373534540211,0.878071992420503
2,parallel,0.3439937488451771,0.9174923817038151
2,all_optical,0.706673884534657,0.8637369401831344
3,serial_force,0.3457666272184033,0.8953299651447342
3,parallel,0.36542733787724807,0.9342218941900254
3,all_optical,0.7120518830665009,0.8761355908597823
4,serial_force,0.34184707699674527,0.8785778709422072
4,parallel,0.3571313744090481,0.9273186236697412
4,all_optical,0.7225782962735885,0.8694384262840255
5,serial_force,0.33350919848603655,0.8838466160207167
5,parallel,0.35200471566981856,0.92096778323099
5,all_optical,0.7229559192157576,0.8720220150455261
6,serial_force,0.33796454556619615,0.8807503920907107
6,parallel,0.3484476348695003,0.9146112253251197
6,all_optical,0.7151024162452544,0.8679302488419599
