architecture,seed,accuracy,condition_number,effective_rank,effective_rank_fraction
serial_force,0,0.9587,1.85e+13,9.00,0.0464
parallel,0,0.8507,8.75e+13,4.18,0.0216
all_optical,0,0.7543,1.49e+13,2.02,0.0106
simple_esn,0,0.5933,1.98e+04,3.02,0.0302
serial_force,1,0.9230,1.48e+13,9.81,0.0493
parallel,1,0.8503,8.83e+13,3.94,0.0198
all_optical,1,0.7483,8.40e+12,2.21,0.0112
simple_esn,1,0.6227,2.55e+03,4.81,0.0481
serial_force,2,0.8957,1.29e+13,9.41,0.0473
parallel,2,0.8500,8.34e+13,3.73,0.0187
all_optical,2,0.7483,9.59e+12,2.13,0.0109
simple_esn,2,0.5403,2.87e+03,7.39,0.0739
serial_force,3,0.9100,1.33e+13,9.18,0.0461
parallel,3,0.8493,3.68e+13,3.76,0.0189
all_optical,3,0.7557,1.59e+13,2.04,0.0103
simple_esn,3,0.6713,1.35e+04,3.67,0.0367
serial_force,4,0.8667,1.04e+13,8.74,0.0439
parallel,4,0.8400,7.56e+13,4.00,0.0201
all_optical,4,0.7460,1.50e+13,2.01,0.0102
simple_esn,4,0.9090,2.35e+04,3.26,0.0326
