architecture,seed,nrmse,condition_number,effective_rank,effective_rank_fraction
serial_force,0,0.8270,5.12e+12,10.61,0.0538
parallel,0,0.8261,5.13e+12,7.57,0.0384
all_optical,0,0.8177,1.86e+12,3.01,0.0154
simple_esn,0,0.7211,2.29e+02,20.39,0.2039
serial_force,1,0.8428,1.33e+12,9.43,0.0471
parallel,1,0.8423,1.33e+12,6.62,0.0331
all_optical,1,0.8286,2.16e+12,2.23,0.0111
simple_esn,1,0.7999,5.36e+01,34.67,0.3467
serial_force,2,0.8343,7.00e+11,9.68,0.0484
parallel,2,0.8325,3.07e+12,6.90,0.0348
all_optical,2,0.8077,1.12e+12,2.59,0.0129
simple_esn,2,0.7412,3.16e+02,22.64,0.2264
serial_force,3,0.8442,8.48e+11,8.92,0.0450
parallel,3,0.8434,4.66e+12,6.56,0.0329
all_optical,3,0.8179,8.04e+10,2.50,0.0125
simple_esn,3,0.7308,1.50e+02,24.12,0.2412
serial_force,4,0.8228,1.12e+12,9.67,0.0484
parallel,4,0.8230,1.50e+12,7.35,0.0367
all_optical,4,0.8165,2.01e+12,2.65,0.0132
simple_esn,4,0.7363,5.08e+02,18.16,0.1816
