architecture,seed,accuracy,condition_number,effective_rank,effective_rank_fraction
serial_force,0,0.9020,1.10e+12,7.43,0.0663
parallel,0,0.9020,1.66e+10,6.59,0.0929
all_optical,0,0.9020,8.10e+09,1.65,0.1178
simple_esn,0,0.9200,9.24e+07,10.86,0.1086
serial_force,1,0.9020,2.14e+12,8.32,0.0743
parallel,1,0.9020,1.63e+10,6.81,0.0945
all_optical,1,0.9020,1.10e+10,1.88,0.1341
simple_esn,1,0.9230,1.41e+05,2.86,0.0286
serial_force,2,0.9020,2.16e+12,7.95,0.0710
parallel,2,0.9020,1.87e+10,6.42,0.0892
all_optical,2,0.9020,1.01e+10,1.80,0.1284
simple_esn,2,0.9190,6.74e+05,2.72,0.0272
serial_force,3,0.9020,6.67e+12,6.87,0.0619
parallel,3,0.9020,2.01e+10,6.52,0.0906
all_optical,3,0.9020,6.12e+09,1.69,0.1207
simple_esn,3,0.9163,1.47e+04,5.87,0.0587
serial_force,4,0.9020,1.28e+12,7.48,0.0668
parallel,4,0.9220,2.62e+10,6.31,0.0842
all_optical,4,0.9020,6.16e+09,1.58,0.1128
simple_esn,4,0.9280,3.55e+10,13.40,0.1340
