waveform,seed,architecture,nrmse_slow,nrmse_fast
sinusoid,1,serial_force,0.17809840610819494,0.7828743532675141
sinusoid,1,parallel,0.1950330179261795,0.8682504376842597
sinusoid,1,all_optical,0.6151779527316577,0.8599189367851248
sinusoid,2,serial_force,0.17971290089446584,0.7480738896010529
sinusoid,2,parallel,0.263412063155176,0.8453699933186462
sinusoid,2,all_optical,0.6459683966297286,0.8449932686237585
sinusoid,3,serial_force,0.1867935627187685,0.7815272564253245
sinusoid,3,parallel,0.1977031858655112,0.860247928989373
sinusoid,3,all_optical,0.6388012859107477,0.8741310978682107
sinusoid,4,serial_force,0.17671290270464265,0.7869586799958621
sinusoid,4,parallel,0.20498682006795266,0.8657645482653263
sinusoid,4,all_optical,0.6533270896086234,0.8786732053566138
sinusoid,5,serial_force,0.26065881986349404,0.7512602997095167
sinusoid,5,parallel,0.2875873025632092,0.8498739827859902
sinusoid,5,all_optical,0.6690681189606317,0.8431241519510821
sinusoid,6,serial_force,0.27172194137240585,0.7407046971724875
sinusoid,6,parallel,0.24811330400962356,0.8358403337325481
sinusoid,6,all_optical,0.7033922998434778,0.8012163016079713
broadband,1,serial_force,0.21749209991932716,0.8241051142093332
broadband,1,parallel,0.20607333232815084,0.9334176856027117
broadband,1,all_optical,0.5549246646886257,0.8200025538789307
broadband,2,serial_force,0.1835790162356095,0.8220362270799673
broadband,2,parallel,0.20703089836344887,0.9286905766890461
broadband,2,all_optical,0.6013316426780451,0.8219600616323292
broadband,3,serial_force,0.2169708874252038,0.7880706776096916
broadband,3,parallel,0.1617469979527735,0.8958613767107012
broadband,3,all_optical,0.5676648808622936,0.8167394579216075
broadband,4,serial_force,0.1651610822600439,0.7834229043913751
broadband,4,parallel,0.16923153967447027,0.9160628211268149
broadband,4,all_optical,0.6216234585554716,0.8029592017811068
broadband,5,serial_force,0.2650347953655402,0.7427844500388991
broadband,5,parallel,0.2536462980627368,0.8537013880369964
broadband,5,all_optical,0.6246235487854475,0.7543767916784652
broadband,6,serial_force,0.3150834784743656,0.7187896266759902
broadband,6,parallel,0.29063408320314343,0.8626967035800599
broadband,6,all_optical,0.6286903835516152,0.7333675499128586
