waveform,theta,seed,architecture,nrmse_slow,nrmse_fast
sinusoid,0.2,1,serial_force,0.17809840610819494,0.7828743532675141
sinusoid,0.2,1,parallel,0.1950330179261795,0.8682504376842597
sinusoid,0.2,2,serial_force,0.17971290089446584,0.7480738896010529
sinusoid,0.2,2,parallel,0.263412063155176,0.8453699933186462
sinusoid,0.2,3,serial_force,0.1867935627187685,0.7815272564253245
sinusoid,0.2,3,parallel,0.1977031858655112,0.860247928989373
sinusoid,0.2,4,serial_force,0.17671290270464265,0.7869586799958621
sinusoid,0.2,4,parallel,0.20498682006795266,0.8657645482653263
sinusoid,0.2,5,serial_force,0.26065881986349404,0.7512602997095167
sinusoid,0.2,5,parallel,0.2875873025632092,0.8498739827859902
sinusoid,0.2,6,serial_force,0.27172194137240585,0.7407046971724875
sinusoid,0.2,6,parallel,0.24811330400962356,0.8358403337325481
sinusoid,0.4,1,serial_force,0.16312396732935502,0.7664260581646819
sinusoid,0.4,1,parallel,0.194711885249834,0.861798372611224
sinusoid,0.4,2,serial_force,0.18719599596779748,0.7314617763368587
sinusoid,0.4,2,parallel,0.26321685020046454,0.8523873181056416
sinusoid,0.4,3,serial_force,0.19396592658506093,0.7693800683464157
sinusoid,0.4,3,parallel,0.19793243275245345,0.8564570641367785
sinusoid,0.4,4,serial_force,0.21391922938886188,0.7798509635746572
sinusoid,0.4,4,parallel,0.20500800178913112,0.8643417254110207
sinusoid,0.4,5,serial_force,0.259084334063255,0.7261475323466778
sinusoid,0.4,5,parallel,0.2871005489756274,0.8421446752429168
sinusoid,0.4,6,serial_force,0.27493886601185114,0.6891638015025662
sinusoid,0.4,6,parallel,0.24787803063387653,0.8201604270907051
sinusoid,0.8,1,serial_force,0.196285570401893,0.7350992870637866
sinusoid,0.8,1,parallel,0.19519958123901412,0.8235640447736023
sinusoid,0.8,2,serial_force,0.2220191724470362,0.7443479534955895
sinusoid,0.8,2,parallel,0.26398009791609217,0.849637460993029
sinusoid,0.8,3,serial_force,0.29271315457724256,0.7783438712837298
sinusoid,0.8,3,parallel,0.1984855547051427,0.8369507127651065
sinusoid,0.8,4,serial_force,0.29936356497121436,0.7773996748988403
sinusoid,0.8,4,parallel,0.20505876508405477,0.8416931504256342
sinusoid,0.8,5,serial_force,0.369758043179617,0.6907714170759123
sinusoid,0.8,5,parallel,0.28740245167512163,0.790733577153651
sinusoid,0.8,6,serial_force,0.27887042304447335,0.6811856503038942
sinusoid,0.8,6,parallel,0.24805982727107814,0.7855109959142803
sinusoid,1.5,1,serial_force,0.5211194838510234,0.828268861803748
sinusoid,1.5,1,parallel,0.19768078861548102,0.8842857708223103
sinusoid,1.5,2,serial_force,0.37325119788480465,0.792982971817377
sinusoid,1.5,2,parallel,0.2660340821599501,0.8589878648255633
sinusoid,1.5,3,serial_force,0.6354558464863808,0.8679911964266324
sinusoid,1.5,3,parallel,0.2003299750416394,0.8760567284045431
sinusoid,1.5,4,serial_force,0.564107844482325,0.8450440345458896
sinusoid,1.5,4,parallel,0.20656803376189609,0.8739832321066299
sinusoid,1.5,5,serial_force,0.5412625055724898,0.7690898498023294
sinusoid,1.5,5,parallel,0.28980477526527265,0.8245536465513427
sinusoid,1.5,6,serial_force,0.5294706753707015,0.7505474355756224
sinusoid,1.5,6,parallel,0.2502020935061047,0.8417001807187987
sinusoid,3.0,1,serial_force,0.31855489554942595,0.8157359142153541
sinusoid,3.0,1,parallel,0.19613671862520576,0.8713433243801672
sinusoid,3.0,2,serial_force,0.2305460011863932,0.7575573183810204
sinusoid,3.0,2,parallel,0.2643718390176783,0.8305829598678327
sinusoid,3.0,3,serial_force,0.4691654644135698,0.8211751152578364
sinusoid,3.0,3,parallel,0.1990154775392168,0.8695596335380625
sinusoid,3.0,4,serial_force,0.2901102712378497,0.7868878368006543
sinusoid,3.0,4,parallel,0.20518537320931124,0.8704770348269725
sinusoid,3.0,5,serial_force,0.3123062969752985,0.7411396550238294
sinusoid,3.0,5,parallel,0.28783953531431977,0.8321644227310342
sinusoid,3.0,6,serial_force,0.2566091472076167,0.6864497915508956
sinusoid,3.0,6,parallel,0.24802068559730334,0.8182554081694544
sinusoid,6.0,1,serial_force,0.18215478221703352,0.8225263283045826
sinusoid,6.0,1,parallel,0.19493679805373434,0.8728678784854169
sinusoid,6.0,2,serial_force,0.21436265681764727,0.8117717331258945
sinusoid,6.0,2,parallel,0.2637075819936646,0.8399188893538139
sinusoid,6.0,3,serial_force,0.23950695436770117,0.8508022321882565
sinusoid,6.0,3,parallel,0.19813645630888213,0.8568473979458576
sinusoid,6.0,4,serial_force,0.22394402037760988,0.8396690047448561
sinusoid,6.0,4,parallel,0.2051005707447647,0.8602292624874528
sinusoid,6.0,5,serial_force,0.29608789551477765,0.8273765977657996
sinusoid,6.0,5,parallel,0.28699239000813925,0.8487832290878095
sinusoid,6.0,6,serial_force,0.25785147715538165,0.803580568198433
sinusoid,6.0,6,parallel,0.247818790295983,0.8213671828066185
