alpha,flatness,seed,architecture,nrmse_slow,nrmse_fast
0.0,0.0013343466642303176,1,serial_force,0.1780894358688762,0.7828455100584116
0.0,0.0013343466642303176,1,esn_matched,0.32445643777621436,0.9317774002552711
0.0,0.0013343466642303176,2,serial_force,0.17973080857949364,0.7481321015058928
0.0,0.0013343466642303176,2,esn_matched,0.34244300597842303,0.8711406945643699
0.0,0.0013343466642303176,3,serial_force,0.18681297455231147,0.7815399924123441
0.0,0.0013343466642303176,3,esn_matched,0.3396727108001403,0.9273941579684504
0.0,0.0013343466642303176,4,serial_force,0.17670101782703737,0.7869603241893656
0.0,0.0013343466642303176,4,esn_matched,0.349282414652969,0.9191483098838013
0.0,0.0013343466642303176,5,serial_force,0.2606547759383776,0.7512984658512256
0.0,0.0013343466642303176,5,esn_matched,0.34567515796238,0.8736075006263059
0.0,0.0013343466642303176,6,serial_force,0.2717015763264291,0.7407203107797303
0.0,0.0013343466642303176,6,esn_matched,0.3590553027942417,0.8815508746742875
0.2,0.009541385767900666,1,serial_force,0.176175638037919,0.7959328486005645
0.2,0.009541385767900666,1,esn_matched,0.3340675198716551,0.9370662695429441
0.2,0.009541385767900666,2,serial_force,0.17740555421046367,0.7659173408236212
0.2,0.009541385767900666,2,esn_matched,0.3359424634190524,0.8885113682964213
0.2,0.009541385767900666,3,serial_force,0.18227789532914157,0.7865035063182838
0.2,0.009541385767900666,3,esn_matched,0.340416821110045,0.9202656235780696
0.2,0.009541385767900666,4,serial_force,0.169959281344444,0.7883857325876416
0.2,0.009541385767900666,4,esn_matched,0.3348543293182184,0.9187394728902676
0.2,0.009541385767900666,5,serial_force,0.2588944120397015,0.7468893489575255
0.2,0.009541385767900666,5,esn_matched,0.34749028224804274,0.8437813790636273
0.2,0.009541385767900666,6,serial_force,0.28050586241799225,0.7396726616605668
0.2,0.009541385767900666,6,esn_matched,0.37272300634823763,0.8762403958591823
0.4,0.02833396459212508,1,serial_force,0.18377848306167993,0.8127327780072511
0.4,0.02833396459212508,1,esn_matched,0.3391451078504571,0.9646317419487465
0.4,0.02833396459212508,2,serial_force,0.17676901509137508,0.7893765711577598
0.4,0.02833396459212508,2,esn_matched,0.323964289636027,0.9179490923207324
0.4,0.02833396459212508,3,serial_force,0.18638591908220675,0.7925125178267092
0.4,0.02833396459212508,3,esn_matched,0.3358046657703832,0.8858384307141234
0.4,0.02833396459212508,4,serial_force,0.16518545210904062,0.7934354200053977
0.4,0.02833396459212508,4,esn_matched,0.3159861789429226,0.939013451974401
0.4,0.02833396459212508,5,serial_force,0.2584174308258224,0.7455039390221212
0.4,0.02833396459212508,5,esn_matched,0.35358382470936467,0.8337909533558052
0.4,0.02833396459212508,6,serial_force,0.2938450277060279,0.7395309275163997
0.4,0.02833396459212508,6,esn_matched,0.37075866957801656,0.833073980017091
0.6,0.05228862646478536,1,serial_force,0.19900767861842444,0.8255607587956264
0.6,0.05228862646478536,1,esn_matched,0.3298092427441722,0.9940226787242848
0.6,0.05228862646478536,2,serial_force,0.17838155784732335,0.8095943782803168
0.6,0.05228862646478536,2,esn_matched,0.31813877175028277,0.948440534076372
0.6,0.05228862646478536,3,serial_force,0.19885974124613326,0.7953258335403861
0.6,0.05228862646478536,3,esn_matched,0.3347540712173517,0.8638555974310541
0.6,0.05228862646478536,4,serial_force,0.163636047006584,0.7942659558378544
0.6,0.05228862646478536,4,esn_matched,0.31139035327438297,0.9613227526058186
0.6,0.05228862646478536,5,serial_force,0.2605101202168937,0.7455915181117784
0.6,0.05228862646478536,5,esn_matched,0.3664635060174235,0.8563516234112661
0.6,0.05228862646478536,6,serial_force,0.3050363203762097,0.735543402483217
0.6,0.05228862646478536,6,esn_matched,0.37274548245933103,0.8114936679035363
0.8,0.07276330142362963,1,serial_force,0.21121520415026065,0.8279083909417677
0.8,0.07276330142362963,1,esn_matched,0.3190022381246037,0.992781356074144
0.8,0.07276330142362963,2,serial_force,0.181106911245418,0.8193214081007962
0.8,0.07276330142362963,2,esn_matched,0.3200710279575817,0.9532315593155952
0.8,0.07276330142362963,3,serial_force,0.2103175431073808,0.7925450526585598
0.8,0.07276330142362963,3,esn_matched,0.34082259657853275,0.874561373596741
0.8,0.07276330142362963,4,serial_force,0.16417980958412798,0.7884383752854119
0.8,0.07276330142362963,4,esn_matched,0.31840247138453237,0.9668683063592038
0.8,0.07276330142362963,5,serial_force,0.26329123188533615,0.7440646280383126
0.8,0.07276330142362963,5,esn_matched,0.36846689128973376,0.853636899072554
0.8,0.07276330142362963,6,serial_force,0.31163956080742694,0.7264912931409647
0.8,0.07276330142362963,6,esn_matched,0.3847548910605803,0.8395516664304767
1.0,0.08554689823074148,1,serial_force,0.21749209991938243,0.8241051142090122
1.0,0.08554689823074148,1,esn_matched,0.3075635280806146,0.9834451648611803
1.0,0.08554689823074148,2,serial_force,0.1835790162356189,0.8220362270800362
1.0,0.08554689823074148,2,esn_matched,0.32471050818350067,0.9503082273022084
1.0,0.08554689823074148,3,serial_force,0.2169708874247424,0.7880706776102173
1.0,0.08554689823074148,3,esn_matched,0.3444357411549216,0.8948914835930505
1.0,0.08554689823074148,4,serial_force,0.16516108226013682,0.7834229043913609
1.0,0.08554689823074148,4,esn_matched,0.32760526340616125,0.9902654806505009
1.0,0.08554689823074148,5,serial_force,0.26503479536591,0.7427844500388873
1.0,0.08554689823074148,5,esn_matched,0.3663362287822999,0.8485989471699867
1.0,0.08554689823074148,6,serial_force,0.31508347847440055,0.7187896266766506
1.0,0.08554689823074148,6,esn_matched,0.38587982031864804,0.8508862340149431
