segment,start_seconds,segment_seconds,re_gate_depth,seed,nrmse_direct,nrmse_coupled
first_120s,0.0,120,,1,1.8800619638939733,0.98489715994717
first_120s,0.0,120,,2,1.8888068556484219,0.9847544450631247
first_120s,0.0,120,,3,1.86875529461235,0.9876161724893258
first_120s,0.0,120,,4,1.905980966349781,0.9840840595100969
first_120s,0.0,120,,5,1.9249610378621982,0.9930181246420574
first_120s,0.0,120,,6,1.9801315163059352,0.981850524470967
high_depth_180_240s,180.0,60,,1,1.8438667995274218,0.9869816311753934
high_depth_180_240s,180.0,60,,2,1.8681815445125267,0.995703730695117
high_depth_180_240s,180.0,60,,3,1.8253783426935968,0.9766035288102527
high_depth_180_240s,180.0,60,,4,1.8650812152907776,0.9743501306906616
high_depth_180_240s,180.0,60,,5,1.850528953899725,0.9794822783526868
high_depth_180_240s,180.0,60,,6,1.8391641686560314,0.9855735053162789
regate_0.6,0.0,120,0.6,1,1.583388704851237,0.9421157450068189
regate_0.6,0.0,120,0.6,2,1.5478974436349378,0.9327012126999608
regate_0.6,0.0,120,0.6,3,1.5635842403522007,0.9403213991545718
regate_0.6,0.0,120,0.6,4,1.6057451498503292,0.939216151342872
regate_0.6,0.0,120,0.6,5,1.5346880093147608,0.9342908491099223
regate_0.6,0.0,120,0.6,6,1.6542438256068217,0.9313641133427283
regate_1.0,0.0,120,1.0,1,1.353286425069276,0.8733361914746615
regate_1.0,0.0,120,1.0,2,1.2896526685389258,0.862140576324293
regate_1.0,0.0,120,1.0,3,1.3389854941775723,0.871523424355712
regate_1.0,0.0,120,1.0,4,1.3644733121371408,0.867967700340373
regate_1.0,0.0,120,1.0,5,1.2703925513432057,0.8655484447515939
regate_1.0,0.0,120,1.0,6,1.409256876258356,0.8611920819987866
regate_1.5,0.0,120,1.5,1,1.5061955032176422,0.9542241158520838
regate_1.5,0.0,120,1.5,2,1.469786906026579,0.9456900866893949
regate_1.5,0.0,120,1.5,3,1.5040790549978902,0.9544050800032119
regate_1.5,0.0,120,1.5,4,1.5127525365450305,0.9417867877280184
regate_1.5,0.0,120,1.5,5,1.4477156961056832,0.9347655875982935
regate_1.5,0.0,120,1.5,6,1.560514540835399,0.9225717989694089
regate_2.0,0.0,120,2.0,1,1.6010142375510628,0.9966783261131538
regate_2.0,0.0,120,2.0,2,1.5863204871781964,0.9904604093007187
regate_2.0,0.0,120,2.0,3,1.6062750898704645,0.9980276778480158
regate_2.0,0.0,120,2.0,4,1.6217883152527737,0.9859611765778912
regate_2.0,0.0,120,2.0,5,1.5785536979258679,0.9740629316607337
regate_2.0,0.0,120,2.0,6,1.6717859888284439,0.9625943066804291
